央视,#genre#
CCTV1,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV3,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV5,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://freetv1.skycf.eu.org/hl1/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225795/index.m3u8
CCTV8,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV11,http://freetv1.skycf.eu.org/hl1/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://freetv1.skycf.eu.org/hl1/PLTV/88888888/224/3221225812/index.m3u8
CCTV13,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://freetv1.skycf.eu.org/hl1/PLTV/88888888/224/3221225513/index.m3u8
CCTV16,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225893/index.m3u8
CCTV16,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225708/index.m3u8
CCTV17,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

卫视,#genre#
安徽卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225925/index.m3u8
北京卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225931/index.m3u8
北京卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
